	dominance
DE1	0.29144758122104353
DE2	0.05277632174674636
DE3	0.1129940603052457
DE4	0.5240887221119582
DE5	0.06551842323898371
PE1	0.22566112763532856
PE2	0.2830153434239134
PE3	0.07102348750760991
PE4	0.03451621364063256
PE5	0.1841471258794453
RI1	0.023064864519517114
RI2	0.21010242911842328
RI3	0.20319873154430662
RI4	0.051687082147872494
RI5	0.05846437080355209
