	simpson
DE1	0.7085524187789565
DE2	0.9472236782532536
DE3	0.8870059396947543
DE4	0.4759112778880418
DE5	0.9344815767610163
PE1	0.7743388723646715
PE2	0.7169846565760867
PE3	0.9289765124923901
PE4	0.9654837863593675
PE5	0.8158528741205547
RI1	0.9769351354804829
RI2	0.7898975708815767
RI3	0.7968012684556933
RI4	0.9483129178521275
RI5	0.941535629196448
