	fisher_alpha
DE1	18.538822605692125
DE2	7.237956783476626
DE3	5.4622221187068565
DE4	2.5462587796209126
DE5	6.0897995786265
PE1	5.288119996414479
PE2	9.44504597792118
PE3	13.637673883528192
PE4	20.01216826999513
PE5	13.443000064762394
RI1	26.948928211665287
RI2	17.380066153553052
RI3	9.573968107858287
RI4	6.8247933817493855
RI5	18.878593764787915
