	simpson_e
DE1	0.020921638635886166
DE2	0.4306338898783498
DE3	0.26029478564119646
DE4	0.09540369386029027
DE5	0.41251033970160994
PE1	0.1266120969562839
PE2	0.05120836717845539
PE3	0.16761725342600717
PE4	0.20260064055156998
PE5	0.05541265759061218
RI1	0.24086660257009246
RI2	0.0360574487765086
RI3	0.06931395159414395
RI4	0.46064747360678476
RI5	0.12957904911374332
