	strong
DE1	0.755518486544094
DE2	0.4181443358417668
DE3	0.4272558278669259
DE4	0.6791418991007468
DE5	0.4305618023469763
PE1	0.5322376738305943
PE2	0.5906085966128554
PE3	0.4906910271485516
PE4	0.48014062651189626
PE5	0.5809573562778761
RI1	0.4715919112688185
RI2	0.6183307667671357
RI3	0.5903688715126345
RI4	0.37471956021097985
RI5	0.49436469962785745
