	mcintosh_e
DE1	0.5405429172544103
DE2	0.23290680386989945
DE3	0.3402233732250273
DE4	0.7260421073600929
DE5	0.2594982497728635
PE1	0.4791566747221741
PE2	0.5345794281949469
PE3	0.2699821722905534
PE4	0.18683122430736832
PE5	0.43124820899613125
RI1	0.15315113409024697
RI2	0.46011462110511253
RI3	0.4527683299537309
RI4	0.23029349864039608
RI5	0.2433475634748215
