	brillouin_d
DE1	2.390881185481716
DE2	3.2387758924286274
DE3	2.8096914186055955
DE4	1.284472820623173
DE5	3.0424452028967237
PE1	2.3491922239756113
PE2	2.460394597281429
PE3	3.4120453107812256
PE4	4.111365865204093
PE5	2.953518618207611
RI1	4.384894248421282
RI2	2.9377065136966567
RI3	2.6875762219276167
RI4	3.2758356071678625
RI5	3.863108451028072
