	berger_parker_d
DE1	0.5235673636074254
DE2	0.0976847446875991
DE3	0.29386124228114785
DE4	0.7175735406188081
DE5	0.13577912254160363
PE1	0.4563843236409608
PE2	0.525128132118451
PE3	0.20562199099239012
PE4	0.13576694130169117
PE5	0.4151048808979633
RI1	0.0792791110281072
RI2	0.44777761691038076
RI3	0.4340773341716441
RI4	0.12480499219968799
RI5	0.21306042884990253
