	pielou_evenness
DE1	0.46962241782323816
DE2	0.865696830933911
DE3	0.8061444373932691
DE4	0.43160533284998687
DE5	0.8527991294012752
PE1	0.6673805900696211
PE2	0.5844742785417439
PE3	0.7776409243119073
PE4	0.8319119888365752
PE5	0.6473809916046149
RI1	0.849067872589452
RI2	0.6039983098605548
RI3	0.63355465916946
RI4	0.8861045005767545
RI5	0.7950869299832496
