	S62	S63	S64	S65	S66	S68	S69	S71	S72	S74	S82	S83	S84	S85	S86
ARGSYNBSUB-PWY	10996.301858363939	0.0	15115.560948089767	1362.6401144590209	256.7358151936476	860.9991371512548	460.4045109328052	2289.1632106563015	2322.7910969939635	3412.098486387072	7011.272531770454	1402.9339905249064	5811.092802324063	5102.076378088713	2853.8109919214035
ARO-PWY	13477.0755856603	0.0	20155.877655021533	1350.5874340420787	467.463143518933	1000.1556555900656	781.6718334878473	2380.646409036875	2516.2729107019586	4120.843314308212	9105.78684974018	1737.3404056253937	8416.324939080047	5756.177112719896	3212.5211219850776
ASPASN-PWY	9962.43615611669	0.0	18932.621400882173	102.21681449224901	478.1936526508865	981.6466970465017	495.8746320474088	2228.647035467936	2046.180095481346	2846.952291300124	7675.53023314253	2344.6618746395256	7864.150624136308	6240.222871738705	3462.917841513765
AST-PWY	671.3569794271122	0.0	0.0111443323606367	0.0	0.0	0.0	0.0	0.0	0.0	1680.1701387659741	0.0	0.0	0.0	0.0	0.004430707896272674
BIOTIN-BIOSYNTHESIS-PWY	4296.147181493872	0.0	969.4808217659705	0.0	0.0	0.0	0.0	0.0	0.0	3317.196230606096	817.0155917027147	0.0	1174.9226914312621	1327.5178041991335	879.4197729588777
BRANCHED-CHAIN-AA-SYN-PWY	13605.605811579442	64.72099335903474	20570.953603710008	1695.3147119365726	377.69591397435585	1151.6962791279998	506.34214925986726	2884.8268341259795	3012.1422812341248	3602.7145985440848	9197.02492994141	1946.6032701894878	8628.085343049363	7101.324924997182	3986.6072678005576
CALVIN-PWY	17705.052999777636	205.69748844274665	23298.626062851996	3105.1419555934426	733.2546538024553	857.6243432641173	732.8186797722274	2176.25250389868	3233.0995944486735	4009.813276735586	10780.370362754466	2639.7135690291893	9848.73350451107	8014.47525195391	4793.872584333527
CATECHOL-ORTHO-CLEAVAGE-PWY	1207.559711892117	0.0	67.18521199925222	0.0	0.0	0.0	0.0	0.0	0.0	4245.748227733022	0.0	0.0	0.0	0.0	92.52878328400213
CENTBENZCOA-PWY	0.0	0.0	4.239504368439851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.210259089182034
CENTFERM-PWY	3302.373543017046	0.0	3268.837533373465	0.0	2.3746371630956706	0.3966649426829042	0.0	2.9919008478212006	0.0	125.65935886280676	2200.771199752822	471.15510178147645	1875.9123079259236	1301.5168698357534	1718.4707667480975
CHLOROPHYLL-SYN	0.0	0.0	0.020875602888948405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	322.9563601235476
COA-PWY	13215.993816063467	194.2	20660.16307546856	1472.33	660.7714701717509	849.4410605243005	764.0329438804597	2372.4761217695827	2946.3919134934863	3580.504797134355	10206.111089011743	2690.353754401236	9478.822198222	8129.092098759074	4438.24160293778
COBALSYN-PWY	8770.519789576781	0.0	15331.271873789641	0.0	371.2722673657191	833.0599442829397	397.4710164154661	2029.1617401560945	2135.499942453035	2856.912720707634	6756.930919405675	1360.380534224242	5780.038583966804	3977.673143053514	2383.042505677619
CODH-PWY	0.0	0.0	6473.88235617511	0.0	392.2113465030236	41.818210095890485	0.0	277.07962292346804	470.548905565449	0.0	4307.028402659543	400.1819496132855	3156.8256685642973	1833.169552206856	861.126041280673
COLANSYN-PWY	5946.534906480192	0.0	7593.301737844847	0.0	0.0006665260345204805	70.64186725215077	241.85500809757934	427.81999788598984	1096.081385475146	49.99248741520194	4904.741234185967	1656.2708183869747	6030.862732564892	4850.8802961224355	2129.3746941565
