	shannon_entropy
DE1	3.4552713616689577
DE2	4.7262126509547
DE3	4.101229869918917
DE4	1.8653672139475697
DE5	4.442617294864911
PE1	3.4231839264828183
PE2	3.570275424830019
PE3	4.970927629144785
PE4	5.956382803593298
PE5	4.282237418060112
RI1	6.361091770253337
RI2	4.254802142084137
RI3	3.8962009402761577
RI4	4.778156736862706
RI5	5.60090569395277
