	mcintosh_d
DE1	0.46142685762691593
DE2	0.7842354228891959
DE3	0.676752233921025
DE4	0.27951103075995254
DE5	0.7587911086924347
PE1	0.5334443157809208
PE2	0.4719903617347391
PE3	0.7427539426695042
PE4	0.8193590622231954
PE5	0.5749739922442837
RI1	0.8539639133201493
RI2	0.5445610167346571
RI3	0.5536140550680274
RI4	0.7865455096560855
RI5	0.7635361010688344
