	heip_e
DE1	0.06115537004511331
DE2	0.592294161382006
DE3	0.48978788773761744
DE4	0.13913719134813143
DE5	0.576252299050592
PE1	0.2860902417430648
PE2	0.15997729505835287
PE3	0.36580250648937174
PE4	0.4302396905634139
PE5	0.1902811367626576
RI1	0.45363933221610414
RI2	0.13809735506969467
RI3	0.19841811676803944
RI4	0.6448540007779419
RI5	0.362850296329377
