	shannon
10249.C017.04SS	1.5688837871682482
10249.C017.05SS	1.5216934875014503
10249.C017.06SS	3.4114942653886744
10249.C017.07SS	2.111189936386149
10249.C017.08SS	2.2072931493727608
10249.C017.09SS	2.598097621477003
10249.C017.11SS	2.5817252754989033
10249.C017.12SS	2.85118821311992
10249.C018.01SS.r	3.25507307896275
10249.C018.02SS	3.102001181804716
10249.C018.03SS	3.376974040340891
10249.C018.04SS	3.537722140946295
10249.C018.05SS	1.8766324034370958
10249.C018.06SS	3.2766163471413225
10249.C018.07SS	3.6179023600363895
10249.C018.08SS	3.6891079810351726
10249.C020.01SS.r	4.927238344177717
10249.C020.03SS	1.464149474708417
10249.C020.04SS	1.284979285745806
10249.C020.05SS	1.3322610490748075
10249.C020.07SS	1.6199397944904441
10249.C020.08SS	1.515130334000231
10249.C020.09SS	2.792359160909916
10249.C020.10SS	2.7124662271937603
10249.C020.11SS	2.229021433935152
10249.C020.12SS	2.3368902182997098
10249.C020.13SS	2.4319324321118665
10249.C020.14SS	3.557451093629784
10249.C020.15SS	3.779483413749515
10249.C021.02SS	3.707332912845092
10249.C021.03SS	3.085281408844444
10249.C021.04SS	3.2466826881374353
10249.C021.05SS	3.8819068823849108
10249.C021.06SS	3.4977481056908473
10249.C021.07SS	3.3212144202754654
10249.C022.01SS.r	3.097324247938622
10249.C022.02SS	1.9545747511411924
10249.C022.03SS	2.961127521923229
10249.C022.04SS	0.9196833269339784
10249.C022.05SS	2.8950631196300707
10249.C022.06SS	2.092949918465439
10249.C022.07SS	2.3936519502885454
10249.C022.08SS	2.9785097773645344
10249.C022.09SS	2.3393675428183904
10249.C022.10SS	3.3445360872605057
10249.C023.01SS.r	3.0635017720436304
10249.C024.01SS.r	2.91205816661961
10249.C024.02SS	3.4458535465025517
10249.C024.03SS	3.8505790468851524
10249.C024.04SS	3.705589105582312
10249.C024.05SS	3.4287375657744366
10249.C024.06SS	3.9033356373242714
10249.C024.07SS	3.08607118433644
10249.C024.08SS	2.738662105707345
10249.C024.09SS	3.1127892093292386
10249.C024.10SS	4.4423970781774935
10249.C025.01SS.r	3.2423648617468244
10249.C025.02SS	2.751920985323027
10249.C025.04SS	2.851809009689994
10249.C025.05SS	2.3223319449592483
10249.C025.06SS	2.4063951791002567
10249.C025.07SS	2.554314065630808
10249.C025.08SS	2.5797852564522312
10249.C025.09SS	3.172774397462794
10249.C025.10SS	2.9603024509238622
10249.C027.01SS.r	0.6344572353405907
10249.C027.02SS	2.0695953238555975
10249.C027.03SS	2.0435246937784233
10249.C027.04SS	2.265630943372924
10249.C027.05SS	2.5855996481247217
10249.C027.06SS	3.564472667005989
10249.C027.07SS	3.195885469783807
10249.C027.08SS	4.080662818929167
10249.C030.01SS.r	0.805547322635584
10249.C030.02SS	1.4123204562351561
10249.C030.03SS	2.069154026191693
10249.C030.04SS	1.4265007526352635
10249.C030.05SS	2.6170166575769813
10249.C030.06SS	2.118093848870113
10249.C030.07SS	2.2954099357568047
10249.C030.08SS	1.244715952671448
10249.C031.01SS.r	3.686293701160748
10249.C031.02SS	1.9198395930739007
10249.C031.03SS	1.3621938814721253
10249.C031.04SS	2.5224812766416354
10249.C031.05SS	2.8365132788317213
10249.C031.06SS	2.686870627671903
10249.C031.07SS	2.794550909705003
10249.C031.08SS	3.2286868177218855
10249.C032.02SS	2.51787298268775
10249.C032.03SS	3.1587877962282604
10249.C032.04SS	2.847259058005392
10249.C032.06SS	3.37214497804302
10249.C032.07SS	2.565264430136424
10249.C033.01SS.r	3.709894925119784
10249.C033.02SS	2.253538808190821
10249.C033.03SS	2.197676569193289
10249.C033.04SS	2.6694610734915125
10249.C033.05SS	1.7767306748649436
10249.C034.02SS	3.3531304792524286
10249.C034.03SS	3.3010570692553127
10249.C034.04SS	2.0414249379911737
10249.C034.05SS	2.0445875322433844
10249.C034.06SS	2.7268154998427514
10249.C035.01SS.r	2.438512221768602
10249.C035.02SS	1.292900789046714
10249.C035.03SS	2.466861013471257
10249.C036.01SS.r	3.9634646207094195
10249.C036.02SS	2.6922025855165903
10249.C036.03SS	2.656855500431902
10249.C037.01SS.r	4.463091602869543
10249.C037.02SS	3.1721984749315144
10249.C038.01SS.r	0.16442873667832428
10249.C038.02SS	2.430835320671435
10249.C041.01SS.r	3.761119821263889
10249.C041.02SS	2.3245090947062774
10249.C042.01SS.r	4.606403322991207
10249.C042.02SS	2.0700693180609515
10249.C043.01SS.r	4.794179836760452
10249.C001.04SS	2.4204266590456
10249.C012.03SS	2.249744826431697
10249.C016.07SS	2.384437749955032
10249.C017.10SS	2.397650802007345
10249.C020.02SS	0.9370967043742218
10249.C025.03SS	3.945309138583029
10249.C027.14SS	4.248279669459029
10249.C027.15SS	4.605033777536664
10249.C030.12SS	3.224776469833159
10249.C030.13SS	3.6275118894901106
10249.C031.11SS	2.664195809291718
10249.C031.12SS	2.8685954359839787
10249.C031.13SS	3.748977537646041
10249.C032.12SD	3.767588097864414
10249.C032.13SS	3.451302818194679
10249.C032.14SS	3.301662337749148
10249.C033.11SS	3.7109721449885447
10249.C033.12SS	4.176407748751643
10249.C034.11SS	2.7768036281454993
10249.C034.12SS	2.678662619050828
10249.C035.07SS	2.0967588930953935
10249.C035.08SS	2.0668394778743844
10249.C036.07SS	1.8659733289612714
10249.C036.08SS	2.0895943410301596
10249.C037.07SS	3.4561237776081746
10249.C037.08SS	3.8409638868833405
10249.C038.07SS	4.122114757880571
10249.C038.08SS	3.5465830040538218
10249.C038.09SS	2.907742485472225
10249.C041.06SS	2.9476789692715513
10249.C041.08SS	3.2777695608874127
10249.C041.09SS	3.6649861029119943
10249.C042.06SS	3.6686267109469357
10249.C042.07SS	4.023734303272883
10249.C042.08SS	3.7976187417144422
10249.C043.03SS	2.9588103135130916
10249.C043.05SS	2.965286679145772
10249.C043.06SS	3.163665588204944
10249.C043.07SS	3.2212358539713626
10249.C044.04SS	2.7162742306337067
10249.C044.06SS	1.7824910941008774
10249.C044.07SS	2.3644427434248763
10249.C044.08SS	2.6753339036301513
10249.C045.01SS	4.062756080936884
10249.C046.01SS	3.8027320062997765
10249.C046.02SS	3.0027628930895767
10249.C001.29SS	3.9080412352014076
10249.C001.30SS	2.7786652254312245
10249.C001.31SS	3.5964059470123177
10249.C002.15SS	4.111388701851141
10249.C002.16SS	4.560361163884834
10249.C005.15SS	4.044474143598688
10249.C005.16SS	3.860568690048336
10249.C005.17SS	3.7463573291623207
10249.C007.17SS	3.520566232480185
10249.C007.18SS	4.218709145148451
