	michaelis_menten_fit
DE1	166.02623795058264
DE2	44.822060612944355
DE3	34.84745868609358
DE4	20.349828566418253
DE5	37.93768840050211
PE1	35.963978445118
PE2	70.39797312346123
PE3	86.0300378354474
PE4	145.29887918100914
PE5	99.69478232575786
RI1	182.47422167060535
RI2	134.07543447073968
RI3	72.31798255100199
RI4	43.01740450386766
RI5	134.43622365030765
