	lladser_pe
DE1	0.0001296506064241049
DE2	0.0071082360411017145
DE3	0.006554605962212509
DE4	0.004872561222786608
DE5	0.004133550464059437
PE1	0.006874396012502681
PE2	0.001239057802745488
PE3	0.005270618301415491
PE4	0.00046197447147903196
PE5	0.001670744657141831
RI1	0.0006488535628868545
RI2	0.0007617145636536041
RI3	0.0010579646483080227
RI4	0.0030418407038060938
RI5	0.0011645208700418255
